seller_id,seller_zip_prefix,seller_city,seller_state,seller_lat,seller_lng
7c5b05cbdb5542049f38d90d7815b97d,5201,sao paulo,SP,-23.413045473409838,-46.723677755774354
999f6d9a1c7c81f43be44c6b7d076210,5269,sao paulo,SP,-23.43350078364711,-46.78917946328692
05a48cc8859962767935ab9087417fbb,5372,sao paulo,SP,-23.57983030302489,-46.75751352696018
1b8b75e227c9a9c100d0c210fb6176ce,5468,sao paulo,SP,-23.539050227122885,-46.71577306475604
63bc58679c44e8a998792119fd7ad23e,5595,sao paulo,SP,-23.58041058673469,-46.74276227935013
25e6ffe976bd75618accfe16cefcbd0d,5503,sao paulo,SP,-23.570211693584675,-46.71083963489561
28ea411b354f14b1a494be4e79f0ce02,5685,sao paulo,SP,-23.607023885737185,-46.70493308856589
f918546be4bec7104d117789ba758b2b,5634,sao paulo,SP,-23.60637544441468,-46.73749142075066
0d33a55da925bbf1ff02af5f6059fc7f,5632,sao paulo,SP,-23.599535586507255,-46.735436371547834
7963e546f34e098b578f9ad102494601,5624,sao paulo,SP,-23.595284852664303,-46.728198536058464
baf15155e37ef5492731459bdc05be8a,5715,sao paulo,SP,-23.62911216427785,-46.73207075900506
aba1721a889e04decc910aa13b768ef4,5729,sao paulo,SP,-23.634607026145602,-46.735881844474896
83353a83fd769dfafa4f21a72b15e3e5,5786,sao paulo,SP,-23.635191671137648,-46.77249597850783
2d2322d842118867781fc737e96d59a1,5879,sao paulo,SP,-23.688713388674568,-46.79261135376148
044668ccd5316b12a7cf0d54a156e3e9,6016,osasco,SP,-23.532463426093493,-46.7795430751613
85044848b1b767db2a4a58526adef4b4,6018,osasco,SP,-23.54089999196139,-46.776112969814946
217f005bb37ff3aeef5b2ae1788e75ba,6038,osasco,SP,-23.56553029762195,-46.77836723266995
f0e103c63864d5405b958d984b6e94c9,6150,osasco,SP,-23.570255901395463,-46.81130803192885
a2b5b6105ea5942300631d2e76f4ffe0,6283,osasco,SP,-23.514445473398528,-46.768160950530145
f680f85bee2d253556ac91be391d2c82,6365,carapicuiba,SP,-23.552946103472205,-46.85082344930689
270d3ef21830ad0ecf3a6c53d08a533a,6380,carapicuiba,SP,-23.54191207813006,-46.83721005347435
f181738b150df1f37cb0bd72e705b193,6317,carapicuiba,SP,-23.526306422402715,-46.845694089115014
2f9b7ce230a057a98a9f5df5893ee36c,6460,barueri,SP,-23.49879608893553,-46.83305816446204
0873d9f8f36123f8d910f4760e788cfb,6465,barueri,SP,-23.498520694082103,-46.85053707630061
cbbd5ae8f53de5f5097cd8217b529e24,6544,santana de parnaiba,SP,-23.463703230285844,-46.85247290281747
f1ce5fdecd64935c28b9ff932751d0dc,6539,santana de parnaiba,SP,-23.46503945141155,-46.88499666372503
08ad4ac1388e4420ca531c3edfc46198,6663,itapevi,SP,-23.557647455396495,-46.939782586668564
ce616e1913288884e7742faac9d981db,6711,cotia,SP,-23.606018265096562,-46.8391940932633
d650b663c3b5f6fb392b6326366efa9a,6713,cotia,SP,-23.62842740833009,-46.87058604050327
3820c6537b3853be1a0687d5a60807ec,6717,cotia,SP,-23.609451894779586,-46.91753331085016
